State,Occupation title,Occupation group,Total employment,Annual mean wage,Annual median wage,Top 10 percent wage
Alabama,Computer and Information Research Scientists,detailed,310,"106,610","101,060","154,760"
Alabama,Computer Systems Analysts,detailed,"4,020","80,230","77,920","114,940"
Alabama,Information Security Analysts,detailed,970,"87,030","85,230","125,430"
Alabama,Computer Programmers,detailed,"6,590","83,450","80,500","127,310"
Alabama,"Software Developers, Applications",detailed,"5,500","93,340","90,430","139,620"
Alabama,"Software Developers, Systems Software",detailed,"4,000","100,170","95,270","151,500"
Alabama,Web Developers,detailed,550,"58,770","55,860","96,320"
Alabama,Database Administrators,detailed,"1,600","79,460","77,780","117,660"
Alabama,Network and Computer Systems Administrators,detailed,"4,410","71,790","68,270","103,630"
Alabama,Computer Network Architects,detailed,850,"98,780","98,900","133,680"
Alabama,Computer User Support Specialists,detailed,"5,980","46,870","44,380","72,560"
Alabama,Computer Network Support Specialists,detailed,"1,050","61,280","59,910","90,560"
Alabama,"Computer Occupations, All Other",detailed,"1,800","86,670","85,250","115,430"
Alabama,Actuaries,detailed,60,"85,710","75,310","144,260"
Alabama,Operations Research Analysts,detailed,720,"97,080","96,640","148,120"
Alabama,Statisticians,detailed,170,"63,500","60,120","93,510"
Alabama,Architecture and Engineering Occupations,major,"42,800","86,800","81,730","141,420"
Alabama,"Architects, Except Landscape and Naval",detailed,"1,110","87,120","78,740","138,810"
Alabama,Landscape Architects,detailed,40,"66,020","60,640","92,330"
Alabama,Cartographers and Photogrammetrists,detailed,170,"59,960","58,460","83,000"
Alabama,Surveyors,detailed,570,"54,500","52,540","81,020"
Alabama,Aerospace Engineers,detailed,"4,470","115,550","112,490","157,360"
Alabama,Chemical Engineers,detailed,510,"107,200","104,490","147,530"
Alabama,Civil Engineers,detailed,"3,970","78,100","71,220","122,590"
Alabama,Computer Hardware Engineers,detailed,"1,460","110,050","111,230","155,290"
Alabama,Electrical Engineers,detailed,"4,330","96,960","93,940","143,490"
Alabama,"Electronics Engineers, Except Computer",detailed,"2,250","105,370","103,160","155,280"
Alabama,Environmental Engineers,detailed,760,"82,580","76,950","128,920"
Alabama,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,410,"97,530","96,400","133,090"
Alabama,Industrial Engineers,detailed,"4,930","85,940","79,680","126,830"
Alabama,Materials Engineers,detailed,540,"101,430","99,980","143,340"
Alabama,Mechanical Engineers,detailed,"3,460","88,600","85,090","127,300"
Alabama,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,180,"84,610","81,820","130,180"
Alabama,Nuclear Engineers,detailed,200,"124,220","115,840","165,090"
Alabama,Petroleum Engineers,detailed,130,"137,810","123,330","206,500"
Alabama,"Engineers, All Other",detailed,"3,440","115,160","111,740","155,290"
Alabama,Architectural and Civil Drafters,detailed,"1,100","50,690","49,140","69,850"
Alabama,Electrical and Electronics Drafters,detailed,310,"56,390","52,740","84,840"
Alabama,Mechanical Drafters,detailed,590,"58,940","53,560","98,730"
Alabama,"Drafters, All Other",detailed,180,"43,820","41,280","67,360"
Alabama,Aerospace Engineering and Operations Technicians,detailed,190,"62,370","60,260","97,120"
Alabama,Civil Engineering Technicians,detailed,"1,600","38,110","34,200","58,060"
Alabama,Electrical and Electronics Engineering Technicians,detailed,"2,020","61,310","61,220","89,830"
Alabama,Electro-Mechanical Technicians,detailed,110,"51,600","53,420","62,480"
Alabama,Environmental Engineering Technicians,detailed,210,"55,750","47,400","96,190"
Alabama,Industrial Engineering Technicians,detailed,"1,130","59,240","57,960","83,520"
Alabama,Mechanical Engineering Technicians,detailed,710,"55,610","53,510","80,530"
Alabama,"Engineering Technicians, Except Drafters, All Other",detailed,830,"61,840","60,720","93,940"
Alabama,Surveying and Mapping Technicians,detailed,700,"41,460","37,970","64,160"
Alabama,"Life, Physical, and Social Science Occupations",major,"8,600","66,450","56,820","111,240"
Alabama,Soil and Plant Scientists,detailed,40,"69,390","61,220","103,480"
Alabama,Biochemists and Biophysicists,detailed,30,"70,800","62,100","128,650"
Alabama,Microbiologists,detailed,110,"57,220","51,770","93,640"
Alabama,Zoologists and Wildlife Biologists,detailed,80,"55,060","53,500","77,010"
Alabama,"Biological Scientists, All Other",detailed,220,"64,450","67,150","85,210"
Alabama,Conservation Scientists,detailed,110,"71,180","73,060","92,310"
Alabama,Epidemiologists,detailed,40,"61,570","62,390","77,250"
Alabama,"Medical Scientists, Except Epidemiologists",detailed,190,"89,160","52,650","204,570"
Alabama,"Life Scientists, All Other",detailed,90,"94,170","93,250","127,620"
Alabama,Physicists,detailed,190,"127,560","115,170","192,640"
Alabama,Chemists,detailed,650,"81,250","75,640","128,130"
Alabama,Materials Scientists,detailed,80,"92,890","88,520","155,280"
Alabama,"Environmental Scientists and Specialists, Including Health",detailed,880,"60,940","54,840","95,720"
Alabama,"Geoscientists, Except Hydrologists and Geographers",detailed,280,"72,450","66,710","104,900"
Alabama,"Physical Scientists, All Other",detailed,80,"108,050","106,960","151,300"
Alabama,Economists,detailed,30,"100,590","103,110","159,520"
Alabama,"Clinical, Counseling, and School Psychologists",detailed,560,"70,910","58,840","110,850"
Alabama,"Psychologists, All Other",detailed,130,"92,050","95,710","109,780"
Alabama,Urban and Regional Planners,detailed,360,"57,660","55,900","85,240"
Alabama,Anthropologists and Archeologists,detailed,80,"51,230","49,630","65,290"
Alabama,Historians,detailed,40,"62,180","56,440","104,160"
Alabama,Agricultural and Food Science Technicians,detailed,100,"48,180","45,780","75,290"
Alabama,Biological Technicians,detailed,340,"38,550","36,520","54,880"
Alabama,Chemical Technicians,detailed,930,"49,730","48,240","75,230"
Alabama,Geological and Petroleum Technicians,detailed,90,"47,100","39,660","84,710"
Alabama,"Environmental Science and Protection Technicians, Including Health",detailed,340,"50,790","46,780","79,480"
Alabama,Forensic Science Technicians,detailed,270,"51,160","46,610","73,870"
Alabama,Forest and Conservation Technicians,detailed,240,"43,900","43,470","57,630"
Alabama,"Life, Physical, and Social Science Technicians, All Other",detailed,890,"43,940","42,800","59,980"
Alabama,Community and Social Service Occupations,major,"17,520","43,190","40,900","63,530"
Alabama,Substance Abuse and Behavioral Disorder Counselors,detailed,830,"41,260","40,130","59,840"
Alabama,"Educational, Guidance, School, and Vocational Counselors",detailed,"3,360","51,830","53,120","70,630"
Alabama,Marriage and Family Therapists,detailed,190,"38,360","39,110","54,680"
Alabama,Mental Health Counselors,detailed,970,"43,760","40,890","64,160"
Alabama,Rehabilitation Counselors,detailed,"1,030","35,530","33,220","59,090"
Alabama,"Counselors, All Other",detailed,120,"41,940","39,600","63,600"
Alabama,"Child, Family, and School Social Workers",detailed,"3,410","40,890","38,090","59,460"
Alabama,Healthcare Social Workers,detailed,"2,160","47,120","46,530","63,140"
Alabama,Mental Health and Substance Abuse Social Workers,detailed,"1,150","38,080","34,680","57,400"
Alabama,"Social Workers, All Other",detailed,350,"61,430","67,150","80,480"
Alabama,Health Educators,detailed,300,"48,060","42,590","78,130"
Alabama,Probation Officers and Correctional Treatment Specialists,detailed,"1,090","44,650","43,980","61,150"
Alabama,Social and Human Service Assistants,detailed,"1,250","27,870","27,450","38,980"
Alabama,Community Health Workers,detailed,760,"38,440","34,070","62,360"
Alabama,Clergy,detailed,440,"43,670","41,270","68,010"
Alabama,"Religious Workers, All Other",detailed,30,"37,090","40,920","56,270"
Alabama,Legal Occupations,major,"9,820","86,720","63,400","169,530"
Alabama,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,120,"120,550","122,350","169,350"
Alabama,"Arbitrators, Mediators, and Conciliators",detailed,50,"65,460","68,240","84,440"
Alabama,"Judges, Magistrate Judges, and Magistrates",detailed,500,"60,540","48,160","116,500"
Alabama,Paralegals and Legal Assistants,detailed,"2,870","45,300","44,180","63,510"
Alabama,Court Reporters,detailed,330,"38,210","30,830","61,110"
Alabama,"Title Examiners, Abstractors, and Searchers",detailed,270,"34,740","34,480","48,900"
Alabama,"Legal Support Workers, All Other",detailed,280,"50,100","48,760","63,650"
Alabama,"Education, Training, and Library Occupations",major,"102,910","46,490","45,710","68,030"
Alabama,"Business Teachers, Postsecondary",detailed,"1,020","90,600","76,040","167,790"
Alabama,"Computer Science Teachers, Postsecondary",detailed,340,"85,000","76,040","133,630"
Alabama,"Mathematical Science Teachers, Postsecondary",detailed,650,"66,240","59,030","110,930"
Alabama,"Architecture Teachers, Postsecondary",detailed,80,"100,470","96,960","148,360"
Alabama,"Engineering Teachers, Postsecondary",detailed,530,"119,790","110,060","190,840"
Alabama,"Agricultural Sciences Teachers, Postsecondary",detailed,240,"100,180","97,810","156,920"
Alabama,"Biological Science Teachers, Postsecondary",detailed,580,"75,630","67,260","122,460"
Alabama,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,60,"86,850","76,000","128,750"
Alabama,"Chemistry Teachers, Postsecondary",detailed,260,"80,400","74,560","122,970"
Alabama,"Physics Teachers, Postsecondary",detailed,150,"84,730","79,780","126,270"
Alabama,"Anthropology and Archeology Teachers, Postsecondary",detailed,40,"71,650","69,940","103,220"
Alabama,"Economics Teachers, Postsecondary",detailed,130,"113,530","105,050","190,830"
Alabama,"Geography Teachers, Postsecondary",detailed,60,"82,210","75,800","125,810"
Alabama,"Political Science Teachers, Postsecondary",detailed,150,"81,130","74,350","120,430"
Alabama,"Psychology Teachers, Postsecondary",detailed,350,"71,200","64,870","106,810"
Alabama,"Sociology Teachers, Postsecondary",detailed,120,"67,160","63,670","101,200"
Alabama,"Nursing Instructors and Teachers, Postsecondary",detailed,"1,530","61,920","59,920","94,880"
Alabama,"Education Teachers, Postsecondary",detailed,810,"72,220","70,120","108,930"
Alabama,"Library Science Teachers, Postsecondary",detailed,130,"71,250","68,360","99,670"
Alabama,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,90,"58,810","57,960","79,720"
Alabama,"Law Teachers, Postsecondary",detailed,130,"111,210","109,230","198,970"
Alabama,"Social Work Teachers, Postsecondary",detailed,110,"65,880","62,620","95,050"
Alabama,"Art, Drama, and Music Teachers, Postsecondary",detailed,690,"61,810","60,690","89,420"
Alabama,"Communications Teachers, Postsecondary",detailed,220,"66,800","61,540","97,910"
Alabama,"English Language and Literature Teachers, Postsecondary",detailed,870,"57,350","55,280","83,660"
Alabama,"Foreign Language and Literature Teachers, Postsecondary",detailed,140,"65,510","63,270","89,490"
Alabama,"History Teachers, Postsecondary",detailed,310,"65,230","63,530","92,200"
Alabama,"Philosophy and Religion Teachers, Postsecondary",detailed,230,"68,530","61,130","106,780"
Alabama,"Home Economics Teachers, Postsecondary",detailed,130,"90,980","80,780","132,110"
Alabama,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,200,"61,990","59,850","92,600"
Alabama,"Vocational Education Teachers, Postsecondary",detailed,"2,080","42,400","42,220","69,030"
Alabama,"Postsecondary Teachers, All Other",detailed,"3,190","28,760","18,760","59,560"
Alabama,"Preschool Teachers, Except Special Education",detailed,"1,550","25,940","23,300","39,180"
Alabama,"Kindergarten Teachers, Except Special Education",detailed,"1,200","44,020","46,140","60,850"
Alabama,"Elementary School Teachers, Except Special Education",detailed,"24,710","49,120","49,590","61,810"
Alabama,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"9,390","49,310","49,110","61,930"
Alabama,"Career/Technical Education Teachers, Middle School",detailed,70,"54,740","56,430","63,850"
Alabama,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"13,100","50,060","49,870","62,690"
Alabama,"Career/Technical Education Teachers, Secondary School",detailed,410,"51,510","52,500","63,520"
Alabama,"Special Education Teachers, Preschool",detailed,50,"48,860","44,740","89,040"
Alabama,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,320","49,570","51,080","62,750"
Alabama,"Special Education Teachers, Middle School",detailed,560,"50,220","51,380","62,080"
Alabama,"Special Education Teachers, Secondary School",detailed,710,"52,110","53,390","62,690"
Alabama,"Special Education Teachers, All Other",detailed,30,"62,680","65,170","69,140"
Alabama,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,580,"35,820","35,860","56,000"
Alabama,Self-Enrichment Education Teachers,detailed,"2,200","37,640","36,260","61,750"
Alabama,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"3,260","35,660","25,090","71,110"
Alabama,Substitute Teachers,detailed,"11,820","18,040","17,970","20,590"
Alabama,Archivists,detailed,70,"55,070","55,220","79,910"
Alabama,Curators,detailed,110,"51,790","53,080","77,960"
Alabama,Museum Technicians and Conservators,detailed,50,"39,890","41,020","51,950"
Alabama,Librarians,detailed,"2,100","53,350","54,570","65,450"
Alabama,Library Technicians,detailed,830,"29,140","27,590","42,190"
Alabama,Farm and Home Management Advisors,detailed,390,"56,510","57,740","76,240"
Alabama,Instructional Coordinators,detailed,"1,210","71,370","72,200","96,880"
Alabama,Teacher Assistants,detailed,"7,580","20,150","19,220","25,180"
Alabama,"Education, Training, and Library Workers, All Other",detailed,790,"35,990","34,100","58,200"
Alabama,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"17,370","41,500","33,110","76,230"
Alabama,Art Directors,detailed,280,"76,100","71,470","105,750"
Alabama,Craft Artists,detailed,110,"31,030","32,660","38,450"
Alabama,Multimedia Artists and Animators,detailed,130,"65,090","62,100","95,810"
Alabama,"Artists and Related Workers, All Other",detailed,80,"46,310","45,380","85,200"
Alabama,Commercial and Industrial Designers,detailed,240,"69,340","69,400","100,050"
Alabama,Floral Designers,detailed,620,"23,750","22,870","33,020"
Alabama,Graphic Designers,detailed,"1,520","42,780","38,810","64,930"
Alabama,Interior Designers,detailed,490,"61,020","50,230","101,510"
Alabama,Merchandise Displayers and Window Trimmers,detailed,"2,870","24,780","22,380","38,660"
Alabama,Set and Exhibit Designers,detailed,50,"47,340","43,630","72,670"
Alabama,"Designers, All Other",detailed,40,"27,980","22,850","48,930"
Alabama,Producers and Directors,detailed,550,"48,270","44,000","79,500"
Alabama,Coaches and Scouts,detailed,"3,180","36,790","20,840","68,600"
Alabama,"Umpires, Referees, and Other Sports Officials",detailed,90,"20,670","17,990","35,640"
Alabama,Radio and Television Announcers,detailed,310,"30,550","22,060","58,970"
Alabama,Broadcast News Analysts,detailed,240,"77,990","62,540","154,310"
Alabama,Reporters and Correspondents,detailed,430,"34,930","30,550","57,120"
Alabama,Public Relations Specialists,detailed,"1,820","50,920","46,230","82,560"
Alabama,Editors,detailed,660,"52,260","48,570","82,170"
Alabama,Technical Writers,detailed,660,"64,900","62,340","94,250"
Alabama,Writers and Authors,detailed,220,"51,360","40,020","90,630"
Alabama,Interpreters and Translators,detailed,230,"43,260","42,310","62,040"
Alabama,Audio and Video Equipment Technicians,detailed,690,"37,720","33,190","78,030"
Alabama,Broadcast Technicians,detailed,340,"36,530","30,700","65,860"
Alabama,Sound Engineering Technicians,detailed,30,"41,610","36,920","82,380"
Alabama,Photographers,detailed,470,"35,590","32,290","57,500"
Alabama,"Camera Operators, Television, Video, and Motion Picture",detailed,190,"44,200","41,880","62,460"
Alabama,Film and Video Editors,detailed,110,"41,870","37,060","65,450"
Alabama,"Media and Communication Equipment Workers, All Other",detailed,120,"62,280","58,680","115,190"
Alabama,Healthcare Practitioners and Technical Occupations,major,"128,740","69,020","51,510","125,000"
Alabama,Chiropractors,detailed,270,"84,770","67,420","171,860"
Alabama,Dietitians and Nutritionists,detailed,850,"54,000","53,540","74,270"
Alabama,Optometrists,detailed,550,"106,500","106,130","157,810"
Alabama,Pharmacists,detailed,"5,430","120,340","120,880","157,780"
Alabama,Physician Assistants,detailed,700,"97,500","97,680","145,580"
Alabama,Podiatrists,detailed,90,"122,600","119,600","194,600"
Alabama,Occupational Therapists,detailed,"1,080","82,250","79,880","119,330"
Alabama,Physical Therapists,detailed,"2,460","86,130","86,130","121,620"
Alabama,Radiation Therapists,detailed,360,"80,130","76,350","111,900"
Alabama,Recreational Therapists,detailed,120,"44,370","41,640","70,110"
Alabama,Respiratory Therapists,detailed,"2,300","47,090","46,600","61,670"
Alabama,Speech-Language Pathologists,detailed,"1,560","70,680","65,860","99,950"
Alabama,Exercise Physiologists,detailed,50,"41,450","38,710","55,340"
Alabama,"Therapists, All Other",detailed,30,"53,430","53,110","64,780"
Alabama,Veterinarians,detailed,860,"78,490","75,900","109,070"
Alabama,Registered Nurses,detailed,"47,440","56,900","55,500","76,840"
Alabama,Nurse Anesthetists,detailed,"1,770","158,060","153,890","204,500"
Alabama,Nurse Practitioners,detailed,"2,820","92,130","90,460","126,810"
Alabama,Audiologists,detailed,70,"70,940","71,130","95,600"
Alabama,Medical and Clinical Laboratory Technologists,detailed,"2,550","54,160","54,820","73,700"
Alabama,Medical and Clinical Laboratory Technicians,detailed,"2,170","35,490","34,090","50,680"
Alabama,Dental Hygienists,detailed,"3,380","44,760","45,380","57,910"
Alabama,Cardiovascular Technologists and Technicians,detailed,580,"49,130","50,700","73,410"
Alabama,Diagnostic Medical Sonographers,detailed,"1,100","54,940","54,860","74,580"
Alabama,Nuclear Medicine Technologists,detailed,350,"61,760","61,660","80,560"
Alabama,Radiologic Technologists,detailed,"3,490","47,530","46,600","63,680"
Alabama,Magnetic Resonance Imaging Technologists,detailed,520,"61,070","60,560","77,760"
Alabama,Emergency Medical Technicians and Paramedics,detailed,"4,010","28,670","27,470","39,030"
Alabama,Dietetic Technicians,detailed,120,"33,940","31,680","47,460"
Alabama,Pharmacy Technicians,detailed,"7,290","27,870","27,140","37,850"
Alabama,Psychiatric Technicians,detailed,"1,030","28,080","26,900","39,430"
Alabama,Respiratory Therapy Technicians,detailed,220,"42,790","44,200","57,010"
Alabama,Surgical Technologists,detailed,"2,050","35,110","34,410","48,450"
Alabama,Veterinary Technologists and Technicians,detailed,980,"28,440","26,770","40,150"
Alabama,Ophthalmic Medical Technicians,detailed,440,"32,830","30,090","53,050"
Alabama,Licensed Practical and Licensed Vocational Nurses,detailed,"13,030","36,300","36,180","47,870"
Alabama,Medical Records and Health Information Technicians,detailed,"2,670","34,740","31,500","53,390"
Alabama,"Opticians, Dispensing",detailed,"1,210","31,530","30,240","47,140"
Alabama,Orthotists and Prosthetists,detailed,130,"77,470","73,980","130,520"
Alabama,"Health Technologists and Technicians, All Other",detailed,730,"41,220","35,770","62,570"
Alabama,Occupational Health and Safety Specialists,detailed,"1,050","69,810","70,610","98,570"
Alabama,Occupational Health and Safety Technicians,detailed,100,"54,410","55,510","75,320"
Alabama,Athletic Trainers,detailed,420,"43,810","41,920","60,190"
Alabama,"Healthcare Practitioners and Technical Workers, All Other",detailed,630,"33,520","28,840","52,790"
Alabama,Healthcare Support Occupations,major,"51,430","26,050","23,650","38,150"
Alabama,Home Health Aides,detailed,"5,060","20,020","18,900","26,680"
Alabama,Psychiatric Aides,detailed,"1,930","24,460","24,180","31,700"
Alabama,Nursing Assistants,detailed,"22,800","22,690","22,030","30,200"
Alabama,Orderlies,detailed,780,"22,480","21,840","30,040"
Alabama,Occupational Therapy Assistants,detailed,500,"58,020","58,160","77,610"
Alabama,Occupational Therapy Aides,detailed,110,"27,690","25,450","38,120"
Alabama,Physical Therapist Assistants,detailed,"1,900","53,910","54,320","71,790"
Alabama,Physical Therapist Aides,detailed,570,"27,330","22,940","54,940"
Alabama,Massage Therapists,detailed,400,"33,990","27,540","58,650"
Alabama,Dental Assistants,detailed,"3,250","32,430","31,630","45,010"
Alabama,Medical Assistants,detailed,"7,290","27,280","26,650","36,990"
Alabama,Medical Equipment Preparers,detailed,"1,150","26,050","24,970","34,680"
Alabama,Medical Transcriptionists,detailed,610,"32,930","32,970","47,290"
Alabama,Pharmacy Aides,detailed,620,"22,980","20,830","33,360"
Alabama,Veterinary Assistants and Laboratory Animal Caretakers,detailed,"1,010","23,100","22,340","30,900"
Alabama,Phlebotomists,detailed,"2,280","28,780","28,370","38,460"
Alabama,"Healthcare Support Workers, All Other",detailed,"1,160","30,180","28,000","45,370"
Alabama,Protective Service Occupations,major,"42,490","36,080","33,320","59,340"
Alabama,First-Line Supervisors of Correctional Officers,detailed,440,"54,450","54,040","75,740"
Alabama,First-Line Supervisors of Police and Detectives,detailed,"1,180","65,150","59,910","98,340"
Alabama,First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"1,010","60,530","58,510","84,190"
Alabama,"First-Line Supervisors of Protective Service Workers, All Other",detailed,760,"46,840","45,670","66,290"
Alabama,Firefighters,detailed,"4,520","40,450","40,770","57,110"
Alabama,Fire Inspectors and Investigators,detailed,120,"54,840","53,330","78,000"
Alabama,Forest Fire Inspectors and Prevention Specialists,detailed,50,"32,570","29,520","49,200"
Alabama,Bailiffs,detailed,80,"32,380","30,930","46,250"
Alabama,Correctional Officers and Jailers,detailed,"5,540","34,760","34,150","48,140"
Alabama,Detectives and Criminal Investigators,detailed,"1,310","60,880","50,440","118,160"
Alabama,Fish and Game Wardens,detailed,200,"48,930","46,910","63,780"
Alabama,Parking Enforcement Workers,detailed,90,"29,970","29,770","38,570"
Alabama,Police and Sheriff's Patrol Officers,detailed,"10,410","43,250","41,310","62,080"
Alabama,Animal Control Workers,detailed,220,"30,410","29,130","42,660"
Alabama,Private Detectives and Investigators,detailed,220,"60,370","65,280","100,850"
Alabama,Gaming Surveillance Officers and Gaming Investigators,detailed,60,"28,410","26,120","41,760"
Alabama,Security Guards,detailed,"12,920","23,690","20,100","37,430"
Alabama,Crossing Guards,detailed,530,"21,410","19,830","29,160"
Alabama,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,"1,340","18,040","18,060","20,960"
Alabama,Transportation Security Screeners,detailed,250,"39,050","37,480","46,030"
Alabama,"Protective Service Workers, All Other",detailed,"1,240","27,190","19,240","51,740"
Alabama,Food Preparation and Serving Related Occupations,major,"167,750","20,560","18,760","28,570"
Alabama,Chefs and Head Cooks,detailed,610,"51,240","50,580","69,210"
Alabama,First-Line Supervisors of Food Preparation and Serving Workers,detailed,"16,320","30,580","28,130","47,730"
Alabama,"Cooks, Fast Food",detailed,"6,940","18,240","18,190","21,810"
Alabama,"Cooks, Institution and Cafeteria",detailed,"10,700","19,710","18,660","25,970"
Alabama,"Cooks, Restaurant",detailed,"15,790","21,730","20,740","29,440"
Alabama,"Cooks, Short Order",detailed,"3,100","20,530","20,230","25,390"
Alabama,"Cooks, All Other",detailed,210,"28,080","23,930","45,400"
Alabama,Food Preparation Workers,detailed,"9,460","20,080","19,100","26,680"
Alabama,Bartenders,detailed,"3,700","21,760","18,960","32,620"
Alabama,"Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"49,320","18,090","17,980","21,250"
Alabama,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"4,580","18,830","18,340","23,960"
Alabama,Waiters and Waitresses,detailed,"32,420","19,780","18,600","26,550"
Alabama,"Food Servers, Nonrestaurant",detailed,"1,960","20,770","19,120","27,060"
Alabama,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"2,160","19,680","18,690","25,450"
Alabama,Dishwashers,detailed,"4,790","18,700","18,390","23,080"
Alabama,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"4,900","18,190","18,100","21,870"
