"","X.1","X","ST","STATE","OCC_TITLE","OCC_GROUP","A_MEAN","lon","lat"
"105",106,106,"AL","Alabama","Drafters, All Other","detailed",43820,-86.902298,32.3182314
"106",107,107,"AL","Alabama","Aerospace Engineering and Operations Technicians","detailed",62370,-86.902298,32.3182314
"107",108,108,"AL","Alabama","Civil Engineering Technicians","detailed",38110,-86.902298,32.3182314
"108",109,109,"AL","Alabama","Electrical and Electronics Engineering Technicians","detailed",61310,-86.902298,32.3182314
"109",110,110,"AL","Alabama","Electro-Mechanical Technicians","detailed",51600,-86.902298,32.3182314
"110",111,111,"AL","Alabama","Environmental Engineering Technicians","detailed",55750,-86.902298,32.3182314
"111",112,112,"AL","Alabama","Industrial Engineering Technicians","detailed",59240,-86.902298,32.3182314
"112",113,113,"AL","Alabama","Mechanical Engineering Technicians","detailed",55610,-86.902298,32.3182314
"113",114,114,"AL","Alabama","Engineering Technicians, Except Drafters, All Other","detailed",61840,-86.902298,32.3182314
"114",115,115,"AL","Alabama","Surveying and Mapping Technicians","detailed",41460,-86.902298,32.3182314
"115",116,116,"AL","Alabama","Life, Physical, and Social Science Occupations","major",66450,-86.902298,32.3182314
"116",117,117,"AL","Alabama","Soil and Plant Scientists","detailed",69390,-86.902298,32.3182314
"117",118,118,"AL","Alabama","Biochemists and Biophysicists","detailed",70800,-86.902298,32.3182314
"118",119,119,"AL","Alabama","Microbiologists","detailed",57220,-86.902298,32.3182314
"119",120,120,"AL","Alabama","Zoologists and Wildlife Biologists","detailed",55060,-86.902298,32.3182314
"120",121,121,"AL","Alabama","Biological Scientists, All Other","detailed",64450,-86.902298,32.3182314
"121",122,122,"AL","Alabama","Conservation Scientists","detailed",71180,-86.902298,32.3182314
"122",123,123,"AL","Alabama","Epidemiologists","detailed",61570,-86.902298,32.3182314
"123",124,124,"AL","Alabama","Medical Scientists, Except Epidemiologists","detailed",89160,-86.902298,32.3182314
"124",125,125,"AL","Alabama","Life Scientists, All Other","detailed",94170,-86.902298,32.3182314
"125",126,126,"AL","Alabama","Physicists","detailed",127560,-86.902298,32.3182314
"126",127,127,"AL","Alabama","Chemists","detailed",81250,-86.902298,32.3182314
"127",128,128,"AL","Alabama","Materials Scientists","detailed",92890,-86.902298,32.3182314
"128",129,129,"AL","Alabama","Environmental Scientists and Specialists, Including Health","detailed",60940,-86.902298,32.3182314
"129",130,130,"AL","Alabama","Geoscientists, Except Hydrologists and Geographers","detailed",72450,-86.902298,32.3182314
"130",131,131,"AL","Alabama","Physical Scientists, All Other","detailed",108050,-86.902298,32.3182314
"131",132,132,"AL","Alabama","Economists","detailed",100590,-86.902298,32.3182314
"132",133,133,"AL","Alabama","Clinical, Counseling, and School Psychologists","detailed",70910,-86.902298,32.3182314
"133",134,134,"AL","Alabama","Psychologists, All Other","detailed",92050,-86.902298,32.3182314
"134",135,135,"AL","Alabama","Urban and Regional Planners","detailed",57660,-86.902298,32.3182314
"135",136,136,"AL","Alabama","Anthropologists and Archeologists","detailed",51230,-86.902298,32.3182314
"136",137,137,"AL","Alabama","Historians","detailed",62180,-86.902298,32.3182314
"137",138,138,"AL","Alabama","Social Scientists and Related Workers, All Other","detailed",79830,-86.902298,32.3182314
"138",139,139,"AL","Alabama","Agricultural and Food Science Technicians","detailed",48180,-86.902298,32.3182314
"139",140,140,"AL","Alabama","Biological Technicians","detailed",38550,-86.902298,32.3182314
"140",141,141,"AL","Alabama","Chemical Technicians","detailed",49730,-86.902298,32.3182314
"141",142,142,"AL","Alabama","Geological and Petroleum Technicians","detailed",47100,-86.902298,32.3182314
"142",143,143,"AL","Alabama","Environmental Science and Protection Technicians, Including Health","detailed",50790,-86.902298,32.3182314
"143",144,144,"AL","Alabama","Forensic Science Technicians","detailed",51160,-86.902298,32.3182314
"144",145,145,"AL","Alabama","Forest and Conservation Technicians","detailed",43900,-86.902298,32.3182314
"145",146,146,"AL","Alabama","Life, Physical, and Social Science Technicians, All Other","detailed",43940,-86.902298,32.3182314
"146",147,147,"AL","Alabama","Community and Social Service Occupations","major",43190,-86.902298,32.3182314
"147",148,148,"AL","Alabama","Substance Abuse and Behavioral Disorder Counselors","detailed",41260,-86.902298,32.3182314
"148",149,149,"AL","Alabama","Educational, Guidance, School, and Vocational Counselors","detailed",51830,-86.902298,32.3182314
"149",150,150,"AL","Alabama","Marriage and Family Therapists","detailed",38360,-86.902298,32.3182314
"150",151,151,"AL","Alabama","Mental Health Counselors","detailed",43760,-86.902298,32.3182314
"151",152,152,"AL","Alabama","Rehabilitation Counselors","detailed",35530,-86.902298,32.3182314
"152",153,153,"AL","Alabama","Counselors, All Other","detailed",41940,-86.902298,32.3182314
"153",154,154,"AL","Alabama","Child, Family, and School Social Workers","detailed",40890,-86.902298,32.3182314
"154",155,155,"AL","Alabama","Healthcare Social Workers","detailed",47120,-86.902298,32.3182314
"155",156,156,"AL","Alabama","Mental Health and Substance Abuse Social Workers","detailed",38080,-86.902298,32.3182314
"156",157,157,"AL","Alabama","Social Workers, All Other","detailed",61430,-86.902298,32.3182314
"157",158,158,"AL","Alabama","Health Educators","detailed",48060,-86.902298,32.3182314
"158",159,159,"AL","Alabama","Probation Officers and Correctional Treatment Specialists","detailed",44650,-86.902298,32.3182314
"159",160,160,"AL","Alabama","Social and Human Service Assistants","detailed",27870,-86.902298,32.3182314
"160",161,161,"AL","Alabama","Community Health Workers","detailed",38440,-86.902298,32.3182314
"161",162,162,"AL","Alabama","Community and Social Service Specialists, All Other","detailed",29940,-86.902298,32.3182314
"162",163,163,"AL","Alabama","Clergy","detailed",43670,-86.902298,32.3182314
"163",164,164,"AL","Alabama","Religious Workers, All Other","detailed",37090,-86.902298,32.3182314
"164",165,165,"AL","Alabama","Legal Occupations","major",86720,-86.902298,32.3182314
"165",166,166,"AL","Alabama","Lawyers","detailed",118420,-86.902298,32.3182314
"166",167,167,"AL","Alabama","Administrative Law Judges, Adjudicators, and Hearing Officers","detailed",120550,-86.902298,32.3182314
"167",168,168,"AL","Alabama","Arbitrators, Mediators, and Conciliators","detailed",65460,-86.902298,32.3182314
"168",169,169,"AL","Alabama","Judges, Magistrate Judges, and Magistrates","detailed",60540,-86.902298,32.3182314
"169",170,170,"AL","Alabama","Paralegals and Legal Assistants","detailed",45300,-86.902298,32.3182314
"170",171,171,"AL","Alabama","Court Reporters","detailed",38210,-86.902298,32.3182314
"171",172,172,"AL","Alabama","Title Examiners, Abstractors, and Searchers","detailed",34740,-86.902298,32.3182314
"172",173,173,"AL","Alabama","Legal Support Workers, All Other","detailed",50100,-86.902298,32.3182314
"173",174,174,"AL","Alabama","Education, Training, and Library Occupations","major",46490,-86.902298,32.3182314
"174",175,175,"AL","Alabama","Business Teachers, Postsecondary","detailed",90600,-86.902298,32.3182314
"175",176,176,"AL","Alabama","Computer Science Teachers, Postsecondary","detailed",85000,-86.902298,32.3182314
"176",177,177,"AL","Alabama","Mathematical Science Teachers, Postsecondary","detailed",66240,-86.902298,32.3182314
"177",178,178,"AL","Alabama","Architecture Teachers, Postsecondary","detailed",100470,-86.902298,32.3182314
"178",179,179,"AL","Alabama","Engineering Teachers, Postsecondary","detailed",119790,-86.902298,32.3182314
"179",180,180,"AL","Alabama","Agricultural Sciences Teachers, Postsecondary","detailed",100180,-86.902298,32.3182314
"180",181,181,"AL","Alabama","Biological Science Teachers, Postsecondary","detailed",75630,-86.902298,32.3182314
"181",182,182,"AL","Alabama","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","detailed",86850,-86.902298,32.3182314
"182",183,183,"AL","Alabama","Chemistry Teachers, Postsecondary","detailed",80400,-86.902298,32.3182314
"183",184,184,"AL","Alabama","Physics Teachers, Postsecondary","detailed",84730,-86.902298,32.3182314
"184",185,185,"AL","Alabama","Anthropology and Archeology Teachers, Postsecondary","detailed",71650,-86.902298,32.3182314
"185",186,186,"AL","Alabama","Economics Teachers, Postsecondary","detailed",113530,-86.902298,32.3182314
"186",187,187,"AL","Alabama","Geography Teachers, Postsecondary","detailed",82210,-86.902298,32.3182314
"187",188,188,"AL","Alabama","Political Science Teachers, Postsecondary","detailed",81130,-86.902298,32.3182314
"188",189,189,"AL","Alabama","Psychology Teachers, Postsecondary","detailed",71200,-86.902298,32.3182314
"189",190,190,"AL","Alabama","Sociology Teachers, Postsecondary","detailed",67160,-86.902298,32.3182314
"191",192,192,"AL","Alabama","Nursing Instructors and Teachers, Postsecondary","detailed",61920,-86.902298,32.3182314
"192",193,193,"AL","Alabama","Education Teachers, Postsecondary","detailed",72220,-86.902298,32.3182314
"193",194,194,"AL","Alabama","Library Science Teachers, Postsecondary","detailed",71250,-86.902298,32.3182314
"194",195,195,"AL","Alabama","Criminal Justice and Law Enforcement Teachers, Postsecondary","detailed",58810,-86.902298,32.3182314
"195",196,196,"AL","Alabama","Law Teachers, Postsecondary","detailed",111210,-86.902298,32.3182314
"196",197,197,"AL","Alabama","Social Work Teachers, Postsecondary","detailed",65880,-86.902298,32.3182314
"197",198,198,"AL","Alabama","Art, Drama, and Music Teachers, Postsecondary","detailed",61810,-86.902298,32.3182314
"198",199,199,"AL","Alabama","Communications Teachers, Postsecondary","detailed",66800,-86.902298,32.3182314
"199",200,200,"AL","Alabama","English Language and Literature Teachers, Postsecondary","detailed",57350,-86.902298,32.3182314
"200",201,201,"AL","Alabama","Foreign Language and Literature Teachers, Postsecondary","detailed",65510,-86.902298,32.3182314
"201",202,202,"AL","Alabama","History Teachers, Postsecondary","detailed",65230,-86.902298,32.3182314
"202",203,203,"AL","Alabama","Philosophy and Religion Teachers, Postsecondary","detailed",68530,-86.902298,32.3182314
"203",204,204,"AL","Alabama","Graduate Teaching Assistants","detailed",21020,-86.902298,32.3182314
"204",205,205,"AL","Alabama","Home Economics Teachers, Postsecondary","detailed",90980,-86.902298,32.3182314
"205",206,206,"AL","Alabama","Recreation and Fitness Studies Teachers, Postsecondary","detailed",61990,-86.902298,32.3182314
"206",207,207,"AL","Alabama","Vocational Education Teachers, Postsecondary","detailed",42400,-86.902298,32.3182314
"207",208,208,"AL","Alabama","Postsecondary Teachers, All Other","detailed",28760,-86.902298,32.3182314
"208",209,209,"AL","Alabama","Preschool Teachers, Except Special Education","detailed",25940,-86.902298,32.3182314
"209",210,210,"AL","Alabama","Kindergarten Teachers, Except Special Education","detailed",44020,-86.902298,32.3182314
"210",211,211,"AL","Alabama","Elementary School Teachers, Except Special Education","detailed",49120,-86.902298,32.3182314
"211",212,212,"AL","Alabama","Middle School Teachers, Except Special and Career/Technical Education","detailed",49310,-86.902298,32.3182314
"212",213,213,"AL","Alabama","Career/Technical Education Teachers, Middle School","detailed",54740,-86.902298,32.3182314
"213",214,214,"AL","Alabama","Secondary School Teachers, Except Special and Career/Technical Education","detailed",50060,-86.902298,32.3182314
"214",215,215,"AL","Alabama","Career/Technical Education Teachers, Secondary School","detailed",51510,-86.902298,32.3182314
"215",216,216,"AL","Alabama","Special Education Teachers, Preschool","detailed",48860,-86.902298,32.3182314
"216",217,217,"AL","Alabama","Special Education Teachers, Kindergarten and Elementary School","detailed",49570,-86.902298,32.3182314
"217",218,218,"AL","Alabama","Special Education Teachers, Middle School","detailed",50220,-86.902298,32.3182314
"218",219,219,"AL","Alabama","Special Education Teachers, Secondary School","detailed",52110,-86.902298,32.3182314
"219",220,220,"AL","Alabama","Special Education Teachers, All Other","detailed",62680,-86.902298,32.3182314
"220",221,221,"AL","Alabama","Adult Basic and Secondary Education and Literacy Teachers and Instructors","detailed",35820,-86.902298,32.3182314
"221",222,222,"AL","Alabama","Self-Enrichment Education Teachers","detailed",37640,-86.902298,32.3182314
"222",223,223,"AL","Alabama","Teachers and Instructors, All Other, Except Substitute Teachers","detailed",35660,-86.902298,32.3182314
"223",224,224,"AL","Alabama","Substitute Teachers","detailed",18040,-86.902298,32.3182314
"224",225,225,"AL","Alabama","Archivists","detailed",55070,-86.902298,32.3182314
"225",226,226,"AL","Alabama","Curators","detailed",51790,-86.902298,32.3182314
"226",227,227,"AL","Alabama","Museum Technicians and Conservators","detailed",39890,-86.902298,32.3182314
"227",228,228,"AL","Alabama","Librarians","detailed",53350,-86.902298,32.3182314
"228",229,229,"AL","Alabama","Library Technicians","detailed",29140,-86.902298,32.3182314
"229",230,230,"AL","Alabama","Audio-Visual and Multimedia Collections Specialists","detailed",28550,-86.902298,32.3182314
"230",231,231,"AL","Alabama","Farm and Home Management Advisors","detailed",56510,-86.902298,32.3182314
"231",232,232,"AL","Alabama","Instructional Coordinators","detailed",71370,-86.902298,32.3182314
"232",233,233,"AL","Alabama","Teacher Assistants","detailed",20150,-86.902298,32.3182314
"233",234,234,"AL","Alabama","Education, Training, and Library Workers, All Other","detailed",35990,-86.902298,32.3182314
"234",235,235,"AL","Alabama","Arts, Design, Entertainment, Sports, and Media Occupations","major",41500,-86.902298,32.3182314
"235",236,236,"AL","Alabama","Art Directors","detailed",76100,-86.902298,32.3182314
"236",237,237,"AL","Alabama","Craft Artists","detailed",31030,-86.902298,32.3182314
"237",238,238,"AL","Alabama","Multimedia Artists and Animators","detailed",65090,-86.902298,32.3182314
"238",239,239,"AL","Alabama","Artists and Related Workers, All Other","detailed",46310,-86.902298,32.3182314
"239",240,240,"AL","Alabama","Commercial and Industrial Designers","detailed",69340,-86.902298,32.3182314
"240",241,241,"AL","Alabama","Floral Designers","detailed",23750,-86.902298,32.3182314
"241",242,242,"AL","Alabama","Graphic Designers","detailed",42780,-86.902298,32.3182314
"242",243,243,"AL","Alabama","Interior Designers","detailed",61020,-86.902298,32.3182314
"243",244,244,"AL","Alabama","Merchandise Displayers and Window Trimmers","detailed",24780,-86.902298,32.3182314
"244",245,245,"AL","Alabama","Set and Exhibit Designers","detailed",47340,-86.902298,32.3182314
"245",246,246,"AL","Alabama","Designers, All Other","detailed",27980,-86.902298,32.3182314
"246",247,247,"AL","Alabama","Producers and Directors","detailed",48270,-86.902298,32.3182314
"247",248,248,"AL","Alabama","Coaches and Scouts","detailed",36790,-86.902298,32.3182314
"248",249,249,"AL","Alabama","Umpires, Referees, and Other Sports Officials","detailed",20670,-86.902298,32.3182314
"252",253,253,"AL","Alabama","Radio and Television Announcers","detailed",30550,-86.902298,32.3182314
"254",255,255,"AL","Alabama","Broadcast News Analysts","detailed",77990,-86.902298,32.3182314
"255",256,256,"AL","Alabama","Reporters and Correspondents","detailed",34930,-86.902298,32.3182314
"256",257,257,"AL","Alabama","Public Relations Specialists","detailed",50920,-86.902298,32.3182314
"257",258,258,"AL","Alabama","Editors","detailed",52260,-86.902298,32.3182314
"258",259,259,"AL","Alabama","Technical Writers","detailed",64900,-86.902298,32.3182314
"259",260,260,"AL","Alabama","Writers and Authors","detailed",51360,-86.902298,32.3182314
"260",261,261,"AL","Alabama","Interpreters and Translators","detailed",43260,-86.902298,32.3182314
"261",262,262,"AL","Alabama","Audio and Video Equipment Technicians","detailed",37720,-86.902298,32.3182314
"262",263,263,"AL","Alabama","Broadcast Technicians","detailed",36530,-86.902298,32.3182314
"263",264,264,"AL","Alabama","Sound Engineering Technicians","detailed",41610,-86.902298,32.3182314
"264",265,265,"AL","Alabama","Photographers","detailed",35590,-86.902298,32.3182314
"265",266,266,"AL","Alabama","Camera Operators, Television, Video, and Motion Picture","detailed",44200,-86.902298,32.3182314
"266",267,267,"AL","Alabama","Film and Video Editors","detailed",41870,-86.902298,32.3182314
"267",268,268,"AL","Alabama","Media and Communication Equipment Workers, All Other","detailed",62280,-86.902298,32.3182314
"268",269,269,"AL","Alabama","Healthcare Practitioners and Technical Occupations","major",69020,-86.902298,32.3182314
"269",270,270,"AL","Alabama","Chiropractors","detailed",84770,-86.902298,32.3182314
"270",271,271,"AL","Alabama","Dentists, General","detailed",183480,-86.902298,32.3182314
"271",272,272,"AL","Alabama","Oral and Maxillofacial Surgeons","detailed",146420,-86.902298,32.3182314
"272",273,273,"AL","Alabama","Orthodontists","detailed",287250,-86.902298,32.3182314
"273",274,274,"AL","Alabama","Dentists, All Other Specialists","detailed",169860,-86.902298,32.3182314
"274",275,275,"AL","Alabama","Dietitians and Nutritionists","detailed",54000,-86.902298,32.3182314
"275",276,276,"AL","Alabama","Optometrists","detailed",106500,-86.902298,32.3182314
"276",277,277,"AL","Alabama","Pharmacists","detailed",120340,-86.902298,32.3182314
"278",279,279,"AL","Alabama","Family and General Practitioners","detailed",189640,-86.902298,32.3182314
"279",280,280,"AL","Alabama","Internists, General","detailed",274930,-86.902298,32.3182314
"280",281,281,"AL","Alabama","Obstetricians and Gynecologists","detailed",216350,-86.902298,32.3182314
"281",282,282,"AL","Alabama","Pediatricians, General","detailed",209040,-86.902298,32.3182314
"282",283,283,"AL","Alabama","Psychiatrists","detailed",191400,-86.902298,32.3182314
"283",284,284,"AL","Alabama","Surgeons","detailed",279770,-86.902298,32.3182314
"284",285,285,"AL","Alabama","Physicians and Surgeons, All Other","detailed",242890,-86.902298,32.3182314
"285",286,286,"AL","Alabama","Physician Assistants","detailed",97500,-86.902298,32.3182314
"286",287,287,"AL","Alabama","Podiatrists","detailed",122600,-86.902298,32.3182314
"287",288,288,"AL","Alabama","Occupational Therapists","detailed",82250,-86.902298,32.3182314
"288",289,289,"AL","Alabama","Physical Therapists","detailed",86130,-86.902298,32.3182314
"289",290,290,"AL","Alabama","Radiation Therapists","detailed",80130,-86.902298,32.3182314
"290",291,291,"AL","Alabama","Recreational Therapists","detailed",44370,-86.902298,32.3182314
"291",292,292,"AL","Alabama","Respiratory Therapists","detailed",47090,-86.902298,32.3182314
"292",293,293,"AL","Alabama","Speech-Language Pathologists","detailed",70680,-86.902298,32.3182314
"293",294,294,"AL","Alabama","Exercise Physiologists","detailed",41450,-86.902298,32.3182314
"294",295,295,"AL","Alabama","Therapists, All Other","detailed",53430,-86.902298,32.3182314
"295",296,296,"AL","Alabama","Veterinarians","detailed",78490,-86.902298,32.3182314
"296",297,297,"AL","Alabama","Registered Nurses","detailed",56900,-86.902298,32.3182314
"297",298,298,"AL","Alabama","Nurse Anesthetists","detailed",158060,-86.902298,32.3182314
"298",299,299,"AL","Alabama","Nurse Practitioners","detailed",92130,-86.902298,32.3182314
