State,OCC_CODE,Occupation_title,OCC_GROUP,Total_employment,Location_quotient,Annual_mean_wage,Annual_Median_wage,Annual_Top10
Alabama,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"6,240",1.54,"65,640","61,720","100,310"
Alabama,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"3,730",1,"61,010","61,170","89,100"
Alabama,13-1032,"Insurance Appraisers, Auto Damage",detailed,**,**,"69,730","70,260","94,680"
Alabama,13-1041,Compliance Officers,detailed,"1,400",0.38,"67,100","64,430","99,590"
Alabama,13-1051,Cost Estimators,detailed,"2,180",0.75,"61,530","58,860","93,200"
Alabama,13-1071,Human Resources Specialists,detailed,"5,310",0.74,"57,770","54,550","89,140"
Alabama,13-1075,Labor Relations Specialists,detailed,940,0.87,"47,030","26,290","102,280"
Alabama,13-1081,Logisticians,detailed,"3,460",1.74,"87,870","87,890","118,470"
Alabama,13-1111,Management Analysts,detailed,"4,590",0.53,"93,430","80,340","155,270"
Alabama,13-1121,"Meeting, Convention, and Event Planners",detailed,400,0.31,"46,300","41,470","71,820"
Alabama,13-1131,Fundraisers,detailed,680,0.73,"51,180","48,120","78,510"
Alabama,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,590,0.55,"62,080","58,540","93,070"
Alabama,13-1151,Training and Development Specialists,detailed,"2,670",0.73,"57,170","54,590","92,160"
Alabama,13-1161,Market Research Analysts and Marketing Specialists,detailed,"3,110",0.41,"59,920","54,330","99,040"
Alabama,13-1199,"Business Operations Specialists, All Other",detailed,"6,870",0.53,"80,360","77,010","121,390"
Alabama,13-2011,Accountants and Auditors,detailed,"15,360",0.9,"67,750","61,890","100,990"
Alabama,13-2021,Appraisers and Assessors of Real Estate,detailed,710,0.86,"52,040","45,890","81,740"
Alabama,13-2031,Budget Analysts,detailed,860,1.15,"77,860","75,880","109,580"
Alabama,13-2041,Credit Analysts,detailed,490,0.49,"65,190","59,020","102,910"
Alabama,13-2051,Financial Analysts,detailed,"1,420",0.37,"82,530","73,330","128,940"
Alabama,13-2052,Personal Financial Advisors,detailed,"2,060",0.75,"125,640","86,160",#
Alabama,13-2053,Insurance Underwriters,detailed,960,0.77,"57,880","54,070","86,690"
Alabama,13-2061,Financial Examiners,detailed,"1,030",1.51,"65,320","60,520","99,560"
Alabama,13-2071,Credit Counselors,detailed,80,0.16,"52,010","37,560","116,530"
Alabama,13-2072,Loan Officers,detailed,"3,740",0.9,"66,680","56,240","115,060"
Alabama,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"1,110",1.39,"53,800","51,320","84,110"
Alabama,13-2082,Tax Preparers,detailed,590,0.62,"33,580","28,520","59,470"
Alabama,13-2099,"Financial Specialists, All Other",detailed,740,0.44,"72,640","71,520","109,780"
Alabama,15-0000,Computer and Mathematical Occupations,major,"38,600",0.68,"79,090","75,630","124,530"
Alabama,15-1111,Computer and Information Research Scientists,detailed,310,0.85,"106,610","101,060","154,760"
Alabama,15-1121,Computer Systems Analysts,detailed,"4,020",0.52,"80,230","77,920","114,940"
Alabama,15-1122,Information Security Analysts,detailed,970,0.74,"87,030","85,230","125,430"
Alabama,15-1131,Computer Programmers,detailed,"6,590",1.78,"83,450","80,500","127,310"
Alabama,15-1132,"Software Developers, Applications",detailed,"5,500",0.51,"93,340","90,430","139,620"
Alabama,15-1133,"Software Developers, Systems Software",detailed,"4,000",0.72,"100,170","95,270","151,500"
Alabama,15-1134,Web Developers,detailed,550,0.31,"58,770","55,860","96,320"
Alabama,15-1141,Database Administrators,detailed,"1,600",1.04,"79,460","77,780","117,660"
Alabama,15-1142,Network and Computer Systems Administrators,detailed,"4,410",0.86,"71,790","68,270","103,630"
Alabama,15-1143,Computer Network Architects,detailed,850,0.4,"98,780","98,900","133,680"
Alabama,15-1151,Computer User Support Specialists,detailed,"5,980",0.73,"46,870","44,380","72,560"
Alabama,15-1152,Computer Network Support Specialists,detailed,"1,050",0.41,"61,280","59,910","90,560"
Alabama,15-1199,"Computer Occupations, All Other",detailed,"1,800",0.51,"86,670","85,250","115,430"
Alabama,15-2011,Actuaries,detailed,60,0.22,"85,710","75,310","144,260"
Alabama,15-2031,Operations Research Analysts,detailed,720,0.49,"97,080","96,640","148,120"
Alabama,15-2041,Statisticians,detailed,170,0.37,"63,500","60,120","93,510"
Alabama,17-0000,Architecture and Engineering Occupations,major,"42,800",1.26,"86,800","81,730","141,420"
Alabama,17-1011,"Architects, Except Landscape and Naval",detailed,"1,110",0.81,"87,120","78,740","138,810"
Alabama,17-1012,Landscape Architects,detailed,40,0.14,"66,020","60,640","92,330"
Alabama,17-1021,Cartographers and Photogrammetrists,detailed,170,1.03,"59,960","58,460","83,000"
Alabama,17-1022,Surveyors,detailed,570,0.96,"54,500","52,540","81,020"
Alabama,17-2011,Aerospace Engineers,detailed,"4,470",4.78,"115,550","112,490","157,360"
Alabama,17-2041,Chemical Engineers,detailed,510,1.18,"107,200","104,490","147,530"
Alabama,17-2051,Civil Engineers,detailed,"3,970",1.01,"78,100","71,220","122,590"
Alabama,17-2061,Computer Hardware Engineers,detailed,"1,460",1.47,"110,050","111,230","155,290"
Alabama,17-2071,Electrical Engineers,detailed,"4,330",1.73,"96,960","93,940","143,490"
Alabama,17-2072,"Electronics Engineers, Except Computer",detailed,"2,250",1.25,"105,370","103,160","155,280"
Alabama,17-2081,Environmental Engineers,detailed,760,1.06,"82,580","76,950","128,920"
Alabama,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,410,1.2,"97,530","96,400","133,090"
Alabama,17-2112,Industrial Engineers,detailed,"4,930",1.41,"85,940","79,680","126,830"
Alabama,17-2131,Materials Engineers,detailed,540,1.48,"101,430","99,980","143,340"
Alabama,17-2141,Mechanical Engineers,detailed,"3,460",0.89,"88,600","85,090","127,300"
Alabama,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,180,1.93,"84,610","81,820","130,180"
Alabama,17-2161,Nuclear Engineers,detailed,200,0.83,"124,220","115,840","165,090"
Alabama,17-2171,Petroleum Engineers,detailed,130,0.29,"137,810","123,330","206,500"
Alabama,17-2199,"Engineers, All Other",detailed,"3,440",2.05,"115,160","111,740","155,290"
Alabama,17-3011,Architectural and Civil Drafters,detailed,"1,100",0.84,"50,690","49,140","69,850"
Alabama,17-3012,Electrical and Electronics Drafters,detailed,310,0.84,"56,390","52,740","84,840"
Alabama,17-3013,Mechanical Drafters,detailed,590,0.68,"58,940","53,560","98,730"
Alabama,17-3019,"Drafters, All Other",detailed,180,0.87,"43,820","41,280","67,360"
Alabama,17-3021,Aerospace Engineering and Operations Technicians,detailed,190,1.14,"62,370","60,260","97,120"
Alabama,17-3022,Civil Engineering Technicians,detailed,"1,600",1.62,"38,110","34,200","58,060"
Alabama,17-3023,Electrical and Electronics Engineering Technicians,detailed,"2,020",1.1,"61,310","61,220","89,830"
Alabama,17-3024,Electro-Mechanical Technicians,detailed,110,0.6,"51,600","53,420","62,480"
Alabama,17-3025,Environmental Engineering Technicians,detailed,210,0.92,"55,750","47,400","96,190"
Alabama,17-3026,Industrial Engineering Technicians,detailed,"1,130",1.31,"59,240","57,960","83,520"
Alabama,17-3027,Mechanical Engineering Technicians,detailed,710,1.14,"55,610","53,510","80,530"
Alabama,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,830,0.82,"61,840","60,720","93,940"
Alabama,17-3031,Surveying and Mapping Technicians,detailed,700,0.96,"41,460","37,970","64,160"
Alabama,19-0000,"Life, Physical, and Social Science Occupations",major,"8,600",0.55,"66,450","56,820","111,240"
Alabama,19-1013,Soil and Plant Scientists,detailed,40,0.18,"69,390","61,220","103,480"
Alabama,19-1021,Biochemists and Biophysicists,detailed,30,0.08,"70,800","62,100","128,650"
Alabama,19-1022,Microbiologists,detailed,110,0.36,"57,220","51,770","93,640"
Alabama,19-1023,Zoologists and Wildlife Biologists,detailed,80,0.35,"55,060","53,500","77,010"
Alabama,19-1029,"Biological Scientists, All Other",detailed,220,0.46,"64,450","67,150","85,210"
Alabama,19-1031,Conservation Scientists,detailed,110,0.38,"71,180","73,060","92,310"
Alabama,19-1041,Epidemiologists,detailed,40,0.5,"61,570","62,390","77,250"
Alabama,19-1042,"Medical Scientists, Except Epidemiologists",detailed,190,0.13,"89,160","52,650","204,570"
Alabama,19-1099,"Life Scientists, All Other",detailed,90,0.81,"94,170","93,250","127,620"
Alabama,19-2012,Physicists,detailed,190,0.83,"127,560","115,170","192,640"
Alabama,19-2031,Chemists,detailed,650,0.55,"81,250","75,640","128,130"
Alabama,19-2032,Materials Scientists,detailed,80,0.74,"92,890","88,520","155,280"
Alabama,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,880,0.77,"60,940","54,840","95,720"
Alabama,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,280,0.67,"72,450","66,710","104,900"
Alabama,19-2099,"Physical Scientists, All Other",detailed,80,0.31,"108,050","106,960","151,300"
Alabama,19-3011,Economists,detailed,30,0.12,"100,590","103,110","159,520"
Alabama,19-3031,"Clinical, Counseling, and School Psychologists",detailed,560,0.38,"70,910","58,840","110,850"
Alabama,19-3039,"Psychologists, All Other",detailed,130,0.69,"92,050","95,710","109,780"
Alabama,19-3051,Urban and Regional Planners,detailed,360,0.77,"57,660","55,900","85,240"
Alabama,19-3091,Anthropologists and Archeologists,detailed,80,0.92,"51,230","49,630","65,290"
Alabama,19-3093,Historians,detailed,40,1.11,"62,180","56,440","104,160"
Alabama,19-3099,"Social Scientists and Related Workers, All Other",detailed,**,**,"79,830","77,010","111,720"
Alabama,19-4011,Agricultural and Food Science Technicians,detailed,100,0.36,"48,180","45,780","75,290"
Alabama,19-4021,Biological Technicians,detailed,340,0.33,"38,550","36,520","54,880"
Alabama,19-4031,Chemical Technicians,detailed,930,1.05,"49,730","48,240","75,230"
Alabama,19-4041,Geological and Petroleum Technicians,detailed,90,0.44,"47,100","39,660","84,710"
Alabama,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,340,0.75,"50,790","46,780","79,480"
Alabama,19-4092,Forensic Science Technicians,detailed,270,1.34,"51,160","46,610","73,870"
Alabama,19-4093,Forest and Conservation Technicians,detailed,240,0.57,"43,900","43,470","57,630"
Alabama,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,890,0.95,"43,940","42,800","59,980"
Alabama,21-0000,Community and Social Service Occupations,major,"17,520",0.64,"43,190","40,900","63,530"
Alabama,21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,830,0.67,"41,260","40,130","59,840"
Alabama,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,"3,360",0.94,"51,830","53,120","70,630"
Alabama,21-1013,Marriage and Family Therapists,detailed,190,0.38,"38,360","39,110","54,680"
Alabama,21-1014,Mental Health Counselors,detailed,970,0.51,"43,760","40,890","64,160"
Alabama,21-1015,Rehabilitation Counselors,detailed,"1,030",0.73,"35,530","33,220","59,090"
Alabama,21-1019,"Counselors, All Other",detailed,120,0.3,"41,940","39,600","63,600"
Alabama,21-1021,"Child, Family, and School Social Workers",detailed,"3,410",0.84,"40,890","38,090","59,460"
Alabama,21-1022,Healthcare Social Workers,detailed,"2,160",0.99,"47,120","46,530","63,140"
Alabama,21-1023,Mental Health and Substance Abuse Social Workers,detailed,"1,150",0.74,"38,080","34,680","57,400"
Alabama,21-1029,"Social Workers, All Other",detailed,350,0.43,"61,430","67,150","80,480"
Alabama,21-1091,Health Educators,detailed,300,0.38,"48,060","42,590","78,130"
Alabama,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,"1,090",0.91,"44,650","43,980","61,150"
Alabama,21-1093,Social and Human Service Assistants,detailed,"1,250",0.25,"27,870","27,450","38,980"
Alabama,21-1094,Community Health Workers,detailed,760,1.07,"38,440","34,070","62,360"
Alabama,21-1099,"Community and Social Service Specialists, All Other",detailed,**,**,"29,940","28,660","39,930"
Alabama,21-2011,Clergy,detailed,440,0.65,"43,670","41,270","68,010"
Alabama,21-2099,"Religious Workers, All Other",detailed,30,0.31,"37,090","40,920","56,270"
Alabama,23-0000,Legal Occupations,major,"9,820",0.67,"86,720","63,400","169,530"
Alabama,23-1011,Lawyers,detailed,"5,380",0.64,"118,420","101,470",#
Alabama,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,120,0.6,"120,550","122,350","169,350"
Alabama,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,50,0.57,"65,460","68,240","84,440"
Alabama,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,500,1.35,"60,540","48,160","116,500"
Alabama,23-2011,Paralegals and Legal Assistants,detailed,"2,870",0.76,"45,300","44,180","63,510"
Alabama,23-2091,Court Reporters,detailed,330,1.38,"38,210","30,830","61,110"
Alabama,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,270,0.37,"34,740","34,480","48,900"
Alabama,23-2099,"Legal Support Workers, All Other",detailed,280,0.45,"50,100","48,760","63,650"
Alabama,25-0000,"Education, Training, and Library Occupations",major,"102,910",0.87,"46,490","45,710","68,030"
Alabama,25-1011,"Business Teachers, Postsecondary",detailed,"1,020",0.9,"90,600","76,040","167,790"
Alabama,25-1021,"Computer Science Teachers, Postsecondary",detailed,340,0.77,"85,000","76,040","133,630"
Alabama,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,650,0.91,"66,240","59,030","110,930"
Alabama,25-1031,"Architecture Teachers, Postsecondary",detailed,80,0.82,"100,470","96,960","148,360"
Alabama,25-1032,"Engineering Teachers, Postsecondary",detailed,530,1.03,"119,790","110,060","190,840"
Alabama,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,240,1.7,"100,180","97,810","156,920"
Alabama,25-1042,"Biological Science Teachers, Postsecondary",detailed,580,0.84,"75,630","67,260","122,460"
Alabama,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,60,0.43,"86,850","76,000","128,750"
Alabama,25-1052,"Chemistry Teachers, Postsecondary",detailed,260,0.88,"80,400","74,560","122,970"
Alabama,25-1054,"Physics Teachers, Postsecondary",detailed,150,0.77,"84,730","79,780","126,270"
Alabama,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,40,0.52,"71,650","69,940","103,220"
Alabama,25-1063,"Economics Teachers, Postsecondary",detailed,130,0.72,"113,530","105,050","190,830"
Alabama,25-1064,"Geography Teachers, Postsecondary",detailed,60,1.13,"82,210","75,800","125,810"
Alabama,25-1065,"Political Science Teachers, Postsecondary",detailed,150,0.68,"81,130","74,350","120,430"
Alabama,25-1066,"Psychology Teachers, Postsecondary",detailed,350,0.68,"71,200","64,870","106,810"
Alabama,25-1067,"Sociology Teachers, Postsecondary",detailed,120,0.63,"67,160","63,670","101,200"
Alabama,25-1071,"Health Specialties Teachers, Postsecondary",detailed,"2,960",1.16,*,*,*
Alabama,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,"1,530",2,"61,920","59,920","94,880"
Alabama,25-1081,"Education Teachers, Postsecondary",detailed,810,1.01,"72,220","70,120","108,930"
Alabama,25-1082,"Library Science Teachers, Postsecondary",detailed,130,1.96,"71,250","68,360","99,670"
Alabama,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,90,0.43,"58,810","57,960","79,720"
Alabama,25-1112,"Law Teachers, Postsecondary",detailed,130,0.61,"111,210","109,230","198,970"
Alabama,25-1113,"Social Work Teachers, Postsecondary",detailed,110,0.67,"65,880","62,620","95,050"
Alabama,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,690,0.51,"61,810","60,690","89,420"
Alabama,25-1122,"Communications Teachers, Postsecondary",detailed,220,0.58,"66,800","61,540","97,910"
Alabama,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,870,0.9,"57,350","55,280","83,660"
Alabama,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,140,0.37,"65,510","63,270","89,490"
Alabama,25-1125,"History Teachers, Postsecondary",detailed,310,1.06,"65,230","63,530","92,200"
Alabama,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,230,0.72,"68,530","61,130","106,780"
Alabama,25-1191,Graduate Teaching Assistants,detailed,**,**,"21,020","17,980","27,310"
Alabama,25-1192,"Home Economics Teachers, Postsecondary",detailed,130,3.26,"90,980","80,780","132,110"
Alabama,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,200,0.86,"61,990","59,850","92,600"
Alabama,25-1194,"Vocational Education Teachers, Postsecondary",detailed,"2,080",1.31,"42,400","42,220","69,030"
Alabama,25-1199,"Postsecondary Teachers, All Other",detailed,"3,190",1.2,"28,760","18,760","59,560"
Alabama,25-2011,"Preschool Teachers, Except Special Education",detailed,"1,550",0.29,"25,940","23,300","39,180"
Alabama,25-2012,"Kindergarten Teachers, Except Special Education",detailed,"1,200",0.58,"44,020","46,140","60,850"
Alabama,25-2021,"Elementary School Teachers, Except Special Education",detailed,"24,710",1.3,"49,120","49,590","61,810"
Alabama,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,"9,390",1.1,"49,310","49,110","61,930"
Alabama,25-2023,"Career/Technical Education Teachers, Middle School",detailed,70,0.38,"54,740","56,430","63,850"
Alabama,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,"13,100",0.96,"50,060","49,870","62,690"
Alabama,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,410,0.38,"51,510","52,500","63,520"
Alabama,25-2051,"Special Education Teachers, Preschool",detailed,50,0.13,"48,860","44,740","89,040"
Alabama,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,320",0.51,"49,570","51,080","62,750"
Alabama,25-2053,"Special Education Teachers, Middle School",detailed,560,0.45,"50,220","51,380","62,080"
Alabama,25-2054,"Special Education Teachers, Secondary School",detailed,710,0.39,"52,110","53,390","62,690"
Alabama,25-2059,"Special Education Teachers, All Other",detailed,30,0.06,"62,680","65,170","69,140"
Alabama,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,detailed,580,0.73,"35,820","35,860","56,000"
Alabama,25-3021,Self-Enrichment Education Teachers,detailed,"2,200",0.7,"37,640","36,260","61,750"
Alabama,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,"3,260",0.82,"35,660","25,090","71,110"
Alabama,25-3098,Substitute Teachers,detailed,"11,820",1.42,"18,040","17,970","20,590"
Alabama,25-4011,Archivists,detailed,70,0.86,"55,070","55,220","79,910"
Alabama,25-4012,Curators,detailed,110,0.69,"51,790","53,080","77,960"
Alabama,25-4013,Museum Technicians and Conservators,detailed,50,0.33,"39,890","41,020","51,950"
Alabama,25-4021,Librarians,detailed,"2,100",1.19,"53,350","54,570","65,450"
Alabama,25-4031,Library Technicians,detailed,830,0.65,"29,140","27,590","42,190"
Alabama,25-9011,Audio-Visual and Multimedia Collections Specialists,detailed,**,**,"28,550","24,010","44,340"
Alabama,25-9021,Farm and Home Management Advisors,detailed,390,3.31,"56,510","57,740","76,240"
Alabama,25-9031,Instructional Coordinators,detailed,"1,210",0.6,"71,370","72,200","96,880"
Alabama,25-9041,Teacher Assistants,detailed,"7,580",0.44,"20,150","19,220","25,180"
Alabama,25-9099,"Education, Training, and Library Workers, All Other",detailed,790,0.58,"35,990","34,100","58,200"
Alabama,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,"17,370",0.67,"41,500","33,110","76,230"
Alabama,27-1011,Art Directors,detailed,280,0.57,"76,100","71,470","105,750"
Alabama,27-1012,Craft Artists,detailed,110,1.62,"31,030","32,660","38,450"
Alabama,27-1014,Multimedia Artists and Animators,detailed,130,0.32,"65,090","62,100","95,810"
Alabama,27-1019,"Artists and Related Workers, All Other",detailed,80,0.81,"46,310","45,380","85,200"
Alabama,27-1021,Commercial and Industrial Designers,detailed,240,0.54,"69,340","69,400","100,050"
Alabama,27-1023,Floral Designers,detailed,620,1.03,"23,750","22,870","33,020"
Alabama,27-1024,Graphic Designers,detailed,"1,520",0.53,"42,780","38,810","64,930"
Alabama,27-1025,Interior Designers,detailed,490,0.67,"61,020","50,230","101,510"
Alabama,27-1026,Merchandise Displayers and Window Trimmers,detailed,"2,870",1.84,"24,780","22,380","38,660"
Alabama,27-1027,Set and Exhibit Designers,detailed,50,0.28,"47,340","43,630","72,670"
Alabama,27-1029,"Designers, All Other",detailed,40,0.37,"27,980","22,850","48,930"
Alabama,27-2012,Producers and Directors,detailed,550,0.35,"48,270","44,000","79,500"
Alabama,27-2022,Coaches and Scouts,detailed,"3,180",1.01,"36,790","20,840","68,600"
Alabama,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,90,0.34,"20,670","17,990","35,640"
Alabama,27-2041,Music Directors and Composers,detailed,60,0.23,*,*,*
Alabama,27-2042,Musicians and Singers,detailed,120,0.21,*,*,*
Alabama,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,60,0.32,*,*,*
Alabama,27-3011,Radio and Television Announcers,detailed,310,0.78,"30,550","22,060","58,970"
Alabama,27-3012,Public Address System and Other Announcers,detailed,50,0.44,*,*,*
Alabama,27-3021,Broadcast News Analysts,detailed,240,3.44,"77,990","62,540","154,310"
Alabama,27-3022,Reporters and Correspondents,detailed,430,0.79,"34,930","30,550","57,120"
Alabama,27-3031,Public Relations Specialists,detailed,"1,820",0.59,"50,920","46,230","82,560"
Alabama,27-3041,Editors,detailed,660,0.5,"52,260","48,570","82,170"
Alabama,27-3042,Technical Writers,detailed,660,0.98,"64,900","62,340","94,250"
Alabama,27-3043,Writers and Authors,detailed,220,0.36,"51,360","40,020","90,630"
Alabama,27-3091,Interpreters and Translators,detailed,230,0.33,"43,260","42,310","62,040"
Alabama,27-4011,Audio and Video Equipment Technicians,detailed,690,0.73,"37,720","33,190","78,030"
Alabama,27-4012,Broadcast Technicians,detailed,340,0.82,"36,530","30,700","65,860"
Alabama,27-4014,Sound Engineering Technicians,detailed,30,0.15,"41,610","36,920","82,380"
Alabama,27-4021,Photographers,detailed,470,0.71,"35,590","32,290","57,500"
Alabama,27-4031,"Camera Operators, Television, Video, and Motion Picture",detailed,190,0.63,"44,200","41,880","62,460"
Alabama,27-4032,Film and Video Editors,detailed,110,0.27,"41,870","37,060","65,450"
Alabama,27-4099,"Media and Communication Equipment Workers, All Other",detailed,120,0.48,"62,280","58,680","115,190"
Alabama,29-0000,Healthcare Practitioners and Technical Occupations,major,"128,740",1.14,"69,020","51,510","125,000"
Alabama,29-1011,Chiropractors,detailed,270,0.61,"84,770","67,420","171,860"
Alabama,29-1021,"Dentists, General",detailed,"1,130",0.78,"183,480","174,170",#
Alabama,29-1022,Oral and Maxillofacial Surgeons,detailed,**,**,"146,420","149,440",#
Alabama,29-1023,Orthodontists,detailed,**,**,"287,250",#,#
Alabama,29-1029,"Dentists, All Other Specialists",detailed,40,0.55,"169,860","179,950",#
Alabama,29-1031,Dietitians and Nutritionists,detailed,850,1.01,"54,000","53,540","74,270"
Alabama,29-1041,Optometrists,detailed,550,1.1,"106,500","106,130","157,810"
Alabama,29-1051,Pharmacists,detailed,"5,430",1.3,"120,340","120,880","157,780"
Alabama,29-1061,Anesthesiologists,detailed,640,1.54,#,#,#
Alabama,29-1062,Family and General Practitioners,detailed,590,0.35,"189,640","178,620",#
Alabama,29-1063,"Internists, General",detailed,340,0.55,"274,930",#,#
Alabama,29-1064,Obstetricians and Gynecologists,detailed,160,0.59,"216,350",#,#
Alabama,29-1065,"Pediatricians, General",detailed,360,0.97,"209,040","189,820",#
Alabama,29-1066,Psychiatrists,detailed,380,1.13,"191,400","161,360",#
Alabama,29-1067,Surgeons,detailed,460,0.82,"279,770",#,#
Alabama,29-1069,"Physicians and Surgeons, All Other",detailed,"5,350",1.16,"242,890",#,#
Alabama,29-1071,Physician Assistants,detailed,700,0.49,"97,500","97,680","145,580"
Alabama,29-1081,Podiatrists,detailed,90,0.68,"122,600","119,600","194,600"
Alabama,29-1122,Occupational Therapists,detailed,"1,080",0.67,"82,250","79,880","119,330"
Alabama,29-1123,Physical Therapists,detailed,"2,460",0.83,"86,130","86,130","121,620"
Alabama,29-1124,Radiation Therapists,detailed,360,1.51,"80,130","76,350","111,900"
